SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5150,5173,5097,5146.5,5146.5,5127.8,2067,13636,70200750,
500003,"AEGIS LOGISTICS LTD.",A,STK,706.9,706.9,685.05,691.45,691,693.9,941,49147,34240909,
500008,"Amara Raja Energy & Mobility L",A,STK,1015.2,1034,1011.9,1017.85,1017.85,1011.85,7234,135265,138630934,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,31.36,33.2,31.19,32.71,32.71,31.16,315,46906,1513165,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,50.33,51,49.41,49.56,49.56,50.33,509,67611,3384173,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.1,5.19,5.01,5.07,5.09,5.1,44,37906,195465,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.51,5.6,5.13,5.45,5.43,5.34,73,14031,77084,
500016,"ARUNA HOTELS LTD.",X,STK,9.06,9.2,8.75,9.13,9.13,8.91,43,7622,68514,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,175.4,175.65,171.8,172.8,172.8,172,759,40608,7061166,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,328.55,336.35,320.85,327.65,329.5,331.8,52,828,271809,
500027,"ATUL LTD.",A,STK,6319.5,6373.9,6278,6367.1,6367.1,6329.95,265,40776,257107320,
500028,"ATV PROJECTS INDIA LTD.",X,STK,38.87,39,37.1,38.42,38.15,38.13,202,34085,1300566,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,571.35,579.25,570,572.25,573.1,571.45,400,4731,2708291,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.5,23.09,21.05,21.23,21.23,20.32,45989,19741045,437186713,
500033,"FORCE MOTORS LTD.",A,STK,19318.95,19551,18980,19486.25,19486.25,19085.5,2423,7507,144932528,
500034,"BAJAJ FINANCE LIMITED",A,STK,897,899.5,886.5,890.45,889.2,889.05,3538,141332,126368867,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,567.25,584.4,561.75,566.7,566.7,541.75,11201,324787,187201379,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,590.65,606.25,585,596.45,591.55,590.65,1237,15212,9083172,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1783.65,1858,1779.5,1818,1817.45,1776,521,3988,7298196,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3764.55,3800,3655.4,3697.75,3719,3646.8,120,267,997221,
500042,"BASF INDIA LTD.",A,STK,4666.55,4686.8,4598.65,4660.55,4686.8,4628.7,130,330,1528191,
500043,"BATA INDIA LTD.",A,STK,1116,1162.9,1116,1158.35,1158.35,1115.55,3684,40938,46826066,
500048,"BEML LTD.",A,STK,3902.35,4117.35,3902.35,4078.45,4079,3886.4,5581,42243,170985951,
500049,"BHARAT ELECTRONICS LTD.",A,STK,377.65,378.9,373.75,376.7,376.7,373.95,13995,939108,353447361,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,105.1,108.2,105.1,106.35,106.95,104.4,227,16707,1781629,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.5,13.99,12.95,13.54,13.5,13.6,75,10531,140682,
500059,"BIL VYAPAR LIMITED",T,STK,10.82,11.93,10.82,11.93,11.93,11.37,12,2203,26170,
500060,"Birla Cable Limited",T,STK,156.75,159.8,156.5,159.05,159.5,156.5,29,780,123517,
500067,"BLUE STAR LTD.",A,STK,1949.95,1965,1935,1938.7,1936.2,1948.9,1793,16774,32652478,
500068,"DISA INDIA LTD.",B,STK,13689.95,13769,13526,13606.35,13749,13689.95,26,50,680925,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,354.5,354.5,353.5,353.5,353.5,354.5,2,11,3898,
500074,"BPL LTD.",B,STK,81,81,79.07,79.14,79.11,79.94,48,2256,181071,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,352,352,330,332,330,330.05,111,1984,670281,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,22.01,22.65,21.69,22.29,22.45,22,163,19846,441342,
500084,"CESC LTD.",A,STK,156.05,158,154.95,156.7,156.4,155.95,1034,68246,10709411,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,544.7,568.2,541.1,558.6,558.5,544.7,2240,59488,33352433,
500086,"EXIDE INDUSTRIES LTD.",A,STK,413.25,422,410,416.1,416.1,412.45,9582,379434,157994637,
500087,"CIPLA LTD.",A,STK,1582.2,1592.15,1563.6,1568.95,1568.95,1587.6,1888,15381,24274491,
500089,"DIC INDIA LTD.",B,STK,630,630,570.3,580.4,580.4,579.85,9,51,29551,
500092,"CRISIL LTD.",A,STK,5057.75,5092.15,5025,5043.7,5070,5066.65,104,460,2330550,
500093,"CG Power and Industrial Soluti",A,STK,720.05,742.85,718.55,739.35,739.35,717.25,19294,694711,510351810,
500096,"DABUR INDIA LTD.",A,STK,524.55,547.9,524.55,545,545,523.55,9546,475366,258100773,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,380,404.3,375.6,377.8,379.9,373.85,4040,92885,36555191,
500101,"ARVIND LTD.",A,STK,289.75,295.2,286.55,288.95,289,285.6,1190,33314,9730981,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,213.7,217.35,212.3,215.05,215.05,212.3,5792,392524,84406848,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,385.85,387.2,381.85,384.7,385,385.25,1991,84956,32691675,
500106,"IFCI LTD.",A,STK,52.75,54.36,52.25,53.09,53.09,52.57,3680,581830,31160151,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,43.61,44.75,43.5,44.11,43.81,43.63,1843,287188,12709257,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,126.05,128.3,125.15,126.7,126.7,125.95,1670,115065,14589050,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,689.6,709.9,685,699.9,698.6,687.1,4582,114591,80301671,
500112,"STATE BANK OF INDIA",A,STK,809.9,810.5,802.9,803.95,803.95,805.9,4689,119021,96006563,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,121.35,124.65,120.8,123.05,123.05,121.1,5034,688268,84693353,
500114,"TITAN COMPANY LIMITED",A,STK,3618.45,3655,3606.6,3617.95,3620,3618.5,1140,6789,24633603,
500116,"IDBI BANK LTD.",A,STK,87.97,90.71,87.29,89.19,89.19,87.03,3989,734175,65681369,
500117,"DCW LTD.",A,STK,73.51,75.5,73.5,74.49,74.45,73.39,434,56076,4184009,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,133.15,143.75,133.15,139.05,139.05,126,6840,354764,49712382,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,364,369,350,358.8,369,361.85,395,4912,1749854,
500123,"ELANTAS BECK INDIA LTD.",B,STK,10900,10999.9,10760.65,10930.25,10930.25,10852.15,47,130,1421559,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1280,1281,1248.85,1257.3,1257.3,1280.3,5709,251411,318808656,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,1156.95,1171.45,1100,1104.55,1104.55,1129.2,2323,34390,38807870,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,6328.45,6395.5,6254.05,6321.25,6307.45,6313.05,224,640,4044206,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,98,100.98,97.38,99.14,99.77,97.38,1820,139418,13905916,
500133,"ESAB INDIA LTD.",A,STK,5098.55,5137.15,5080,5102.1,5113,5121,78,153,780003,
500135,"EPL LIMITED",A,STK,224,226.35,218.75,222.1,222,225,807,27182,6060020,
500136,"ESTER INDUSTRIES LTD.",B,STK,109,114.05,107.45,111,111,109.4,132,9628,1076519,
500142,"FGP LTD.",X,STK,9.12,9.87,9.12,9.56,9.56,9.53,67,6820,64087,
500143,"PH CAPITAL LTD.",X,STK,198.5,198.5,178.3,186.55,185,194.9,87,2684,498296,
500144,"FINOLEX CABLES LTD.",A,STK,849.5,864.7,839.1,859.2,856.65,842.55,1783,32780,28054910,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,4372.05,4524,4371,4395.65,4395.65,4421.3,396,1945,8635215,
500148,"UFLEX LTD.",B,STK,563.1,569.5,538.25,543.05,548.65,529.45,832,10728,5912501,
500150,"FOSECO INDIA LTD.",B,STK,6204.35,6204.35,5891.05,6022.3,6058,6119.5,98,306,1844392,
500151,"GOLDEN TOBACCO LTD.",Z,STK,34.1,35.7,34.06,35.58,35.7,34.06,15,251,8683,
500153,"GANESH BENZOPLAST LTD.",B,STK,96.85,99.44,96.64,98.28,97.75,96.85,433,18590,1831048,
500159,"METROGLOBAL LIMITED",X,STK,133.8,133.8,128.7,129,128.7,130.85,34,545,70586,
500160,"GTL LTD.",B,STK,9.26,9.37,8.31,9.29,9.15,9.19,504,131507,1198622,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,10789.95,10789.95,10000,10061.3,10061.3,10569.05,15146,84169,861865619,
500164,"GODREJ INDUSTRIES LTD.",A,STK,1226.95,1226.95,1190.5,1198.75,1198,1224.65,791,5859,7060412,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,240.55,244.9,239.9,241.7,241.3,241.15,304,8234,1999969,
500166,"GOODRICKE GROUP LTD.",X,STK,198,199.5,195.55,196.95,196.95,196.9,55,1995,393772,
500168,"GOODYEAR INDIA LTD.",B,STK,985.95,996,980,987.6,987.6,980.4,581,7891,7764629,
500170,"GTN INDUSTRIES LTD.",X,STK,23.99,25,23.25,24.41,24.79,23.26,50,1918,46234,
500171,"GHCL LTD.",A,STK,569.6,569.6,555.25,558.95,558.55,562.5,423,4462,2506314,
500173,"GFL LIMITED",B,STK,60.3,62.33,59.6,60.21,61.4,60.95,373,13161,801717,
500174,"GUJARAT LEASE FINANCING LTD.",T,STK,6.59,6.59,6.34,6.34,6.34,6.3,5,603,3831,
500178,"HARIG CRANKSHAFTS LTD.",XT,STK,2.87,2.87,2.87,2.87,2.87,2.74,14,118,338,
500179,"HCL INFOSYSTEMS LTD.",T,STK,15.2,15.78,14.95,15.28,15.28,15.39,269,34600,532721,
500180,"HDFC BANK LTD.",A,STK,950.5,954,943.85,944.4,944.4,950.7,16039,384042,364905193,
500182,"HERO MOTOCORP LTD.",A,STK,5260.05,5346,5210,5311.05,5311.05,5242.15,6142,36558,193154519,
500183,"HFCL LIMITED",A,STK,71.49,71.96,70.05,70.32,70.32,71.36,4899,638279,45310272,
500184,"Himadri Speciality Chemical Lt",A,STK,458.95,467.9,453.85,461.2,462.8,452.4,977,24580,11338282,
500185,"HINDUSTAN CONSTRUCTION CO.LTD.",T,STK,25.25,26.85,25.2,26.85,26.85,25.58,1324,797031,21122520,
500186,"HINDUSTAN OIL EXPLORATION CO.L",B,STK,170.8,174.65,170.45,173.7,173.85,170.9,1384,74096,12842522,
500187,"AGI GREENPAC LIMITED",A,STK,905,905,873,878.6,880,875.05,475,5989,5305462,
500188,"HINDUSTAN ZINC LTD.",A,STK,439.45,444.2,438.25,440.85,440.6,435.8,2232,96073,42402533,
500189,"NDL Ventures Limited",T,STK,88.84,90,87.51,88,88,88.13,31,1874,166942,
500191,"HMT LTD.",Z,STK,56.59,57.24,55.75,56.4,56.4,56.03,22,872,49166,
500192,"PRAG BOSIMI SYNTHETICS LTD.",X,STK,1.92,2.01,1.91,1.95,1.97,1.96,63,23462,46062,
500193,"HLV LIMITED",B,STK,11.73,11.96,11.73,11.81,11.81,11.72,189,41216,487295,
500199,"I G PETROCHEMICALS LTD.",B,STK,436,444.6,435.45,437.6,439.25,442.65,171,1917,842486,
500201,"INDIA GLYCOLS LTD.",A,STK,820.05,848.85,817.6,827.45,827.45,812.7,1011,12098,10072763,
500202,"INDIA LEASE DEVELOPMENT LTD.",XT,STK,9.66,9.66,9.58,9.58,9.58,9.7,11,486,4680,
500206,"MARGO FINANCE LIMITED",X,STK,78.5,85,76,76.05,76.04,77.19,64,1254,99255,
500207,"INDO RAMA SYNTHETICS (INDIA) L",T,STK,51.2,53.32,51.1,53.32,53.32,50.79,115,35043,1848159,
500209,"INFOSYS LTD.",A,STK,1499.45,1512.85,1486.1,1497.1,1497.1,1499.45,5548,80249,120331626,
500210,"INGERSOLL-RAND (INDIA) LTD.",A,STK,3809,3822.45,3789.55,3806.9,3801,3795.7,69,201,765718,
500213,"INTERNATIONAL TRAVEL HOUSE LTD",X,STK,483.95,495,472.5,487.65,487.8,472.5,91,1308,632351,
500214,"ION EXCHANGE (INDIA) LTD.",A,STK,426,427.5,415.15,418.95,418.05,423.2,881,12066,5080226,
500215,"SUNDROP BRANDS LIMITED",B,STK,829.6,844.45,829.3,839.15,838.85,813.4,171,1254,1052213,
500219,"JAIN IRRIGATION SYSTEMS LTD.",A,STK,51.09,53.53,51.09,53.06,53.26,51.77,3976,589515,31009402,
500220,"JASCH INDUSTRIES LTD.",X,STK,185,189.5,180,184,184,180,55,6066,1123523,
500227,"JINDAL POLY FILMS LTD.",B,STK,607.95,611.8,586.8,590.6,590.6,611.4,1043,20913,12430382,
500228,"JSW STEEL LTD.",A,STK,1026.65,1049,1026.65,1043.55,1041.45,1034.45,1141,16163,16859694,
500233,"KAJARIA CERAMICS LTD.",A,STK,1187.05,1242.3,1187.05,1209.05,1208,1225.15,640,6949,8476809,
500234,"KAKATIYA CEMENT SUGAR & INDUST",B,STK,159.5,159.7,152.3,153.3,153.05,150,78,1349,211286,
500235,"KALYANI STEELS LTD.",B,STK,833.9,844.5,824.1,827.45,828,831,225,3384,2825186,
500238,"WHIRLPOOL OF INDIA LTD.",A,STK,1314.4,1349,1303.85,1332.5,1329.3,1314.4,646,6388,8510102,
500239,"KG DENIM LTD.",X,STK,20,21.81,20,20.22,20.26,19.99,79,8347,173836,
500240,"KINETIC ENGINEERING LTD.",XT,STK,295,295,288.75,288.75,288.75,294.6,103,9769,2841893,
500241,"KIRLOSKAR BROTHERS LTD.",A,STK,1997.95,2014,1968.05,2007.1,2009.9,1976,352,2834,5657994,
500243,"KIRLOSKAR INDUSTRIES LTD",B,STK,3758.2,3847.95,3751.9,3789.7,3787.75,3750.55,97,253,960190,
500245,"KIRLOSKAR FERROUS INDUSTRIES L",A,STK,546.9,550.85,533.25,537.3,537.3,546.9,621,15811,8570970,
500246,"ENVAIR ELECTRODYNE LTD.",X,STK,76.46,76.46,75,76,76,76.47,11,65,4955,
500247,"KOTAK MAHINDRA BANK LTD.",A,STK,1968,1974.6,1940.5,1942.5,1942.5,1967.65,2576,32746,64033033,
500249,"KSB LIMITED",A,STK,817.75,837.45,810.3,830.85,834.5,820,474,5193,4302545,
500250,"L.G.BALAKRISHNAN & BROS.LTD.",B,STK,1258.75,1318.8,1258.75,1301.4,1300,1278,271,2021,2626034,
500251,"TRENT LTD.",A,STK,5450,5470.35,5386.65,5409.45,5408.95,5449,3827,35651,193829242,
500252,"LMW Limited",A,STK,14254.95,14255.9,14005.7,14066.3,14016.05,14175.65,148,273,3853783,
500253,"LIC HOUSING FINANCE LTD.",A,STK,563.2,565.95,555.65,556.65,556.65,563.2,1083,40289,22577068,
500257,"LUPIN LTD.",A,STK,1888.05,1905.75,1881.8,1888.95,1891.9,1898.55,1363,12283,23262169,
500259,"LYKA LABS LTD.",B,STK,100.58,102.17,100.16,100.91,100.5,100.68,65,1941,196199,
