SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,11500,11688,11500,11661.7,11688,11568,381,4437538.30,05-Sep-2025,54,IN0020200104
SGBN28VIII,GB,12000,12475,11515,11850.87,11818,11800,270,3237570.45,05-Sep-2025,94,IN0020200286
SGBMAY29I,GB,11561,11900,11560,11831.18,11825,11549.79,536,6262477.78,05-Sep-2025,128,IN0020210053
SGBJUN29II,GB,11599.99,11880,11565.1,11733.91,11751,11550,344,4017110.68,05-Sep-2025,74,IN0020210061
SGBJU29III,GB,11882.7,11882.7,11641.5,11752.28,11780,11649.69,155,1817232.24,05-Sep-2025,48,IN0020210087
SGBSEP29VI,GB,11699,11797,11650.01,11791.86,11796.99,11622.36,430,5044653.14,05-Sep-2025,91,IN0020210145
SGBNV29VII,GB,11622.95,11850,11620.54,11834.61,11850,11620.54,410,4838184.40,05-Sep-2025,72,IN0020210178
SGBOCT25,GB,11500,11588,11350,11588,11588,11357.13,84,963861.36,05-Sep-2025,21,IN0020170059
SGBOCT25IV,GB,11516.61,11516.61,11446.6,11446.6,11446.6,11379,17,194884.89,05-Sep-2025,6,IN0020170067
SGBOCT25V,GB,11396.4,11446.6,11396.4,11436.55,11436.55,11300,22,251453.57,05-Sep-2025,7,IN0020170075
SGBNOV25,GB,11524.96,11581.48,11524.96,11581.48,11581.48,11524.96,7,80844.28,05-Sep-2025,3,IN0020170091
SGBDEC25,GB,11700,11700,11700,11700,11700,11500,1,11700.00,05-Sep-2025,1,IN0020170125
SGBDEC25XI,GB,10560.01,10560.01,10560.01,10560.01,10560.01,10245,1,10560.01,05-Sep-2025,1,IN0020170133
SGBNOV25IX,GB,11350,11531.55,11350,11531.55,11531.55,11350,9,103057.74,05-Sep-2025,4,IN0020170117
SGBDEC2512,GB,11355,11355,11355,11355,11355,11355,2,22710.00,05-Sep-2025,1,IN0020170141
SGBNOV258,GB,11550,11550,11550,11550,11550,11462.76,20,231000.00,05-Sep-2025,3,IN0020170109
SGBDEC2513,GB,11600,11600,11588,11588,11588,11600,2,23188.00,05-Sep-2025,2,IN0020170158
SGBMAY26,GB,11421,11450,11421,11450,11450,11358,7,80121.00,05-Sep-2025,3,IN0020180033
SGBOCT26,GB,11687,11687,11687,11687,11687,11500,4,46748.00,05-Sep-2025,2,IN0020180249
SGBNOV26,GB,11400.01,11645.4,11400.01,11645,11645,11599,22,254245.64,05-Sep-2025,9,IN0020180314
SGBDEC26,GB,11900,11900,11900,11900,11900,11450,1,11900.00,05-Sep-2025,1,IN0020180389
SGBJAN26,GB,11545,11545,11545,11545,11545,11545,1,11545.00,05-Sep-2025,1,IN0020170166
SGBJUN27,GB,11579.94,11774.97,11579.94,11774.97,11774.97,11579.94,5,58094.76,05-Sep-2025,4,IN0020190073
SGBJUL27,GB,11355,11650,11355,11650,11650,11470,30,348011.52,05-Sep-2025,10,IN0020190081
SGBAUG27,GB,12350,12399.99,11916,12261.14,12358.61,12215.3,163,1996847.77,05-Sep-2025,51,IN0020190107
SGBSEP27,GB,10600,11700,10600,11700,11700,11500,122,1393761.90,05-Sep-2025,28,IN0020190115
SGBJAN27,GB,11850,11990,10811.01,11987.99,11987.99,11699.99,13,150188.53,05-Sep-2025,9,IN0020180462
SGBOCT27,GB,11700,12000,11700,12000,12000,11588,5,58900.00,05-Sep-2025,3,IN0020190370
SGBFEB27,GB,11790,11790,11790,11790,11790,11790,1,11790.00,05-Sep-2025,1,IN0020180561
SGBOCT27VI,GB,11500,11642.99,11500,11642.94,11642.94,11535,303,3515436.09,05-Sep-2025,17,IN0020190388
SGBDC27VII,GB,11900,11999.99,11900,11956.24,11999.99,11700,52,620395.99,05-Sep-2025,15,IN0020190461
