ISIN,Code,SYMBOL,SERIES,EXCH
INE144J01027,20MICRONS,20MICRONS,EQ,NSE
INE253B01015,21STCENMGM,21STCENMGM,EQ,NSE
INE466L01038,360ONE,360ONE,EQ,NSE
INF579M01BB5,GOLD360,GOLD360,EQ,NSE
INF579M01BC3,SILVER360,SILVER360,EQ,NSE
INE748C01038,3IINFOLTD,3IINFOLTD,EQ,NSE
INE470A01017,3MINDIA,3MINDIA,EQ,NSE
INE105C01023,3PLAND,3PLAND,EQ,NSE
INE618L01018,5PAISA,5PAISA,EQ,NSE
INE111B01023,63MOONS,63MOONS,EQ,NSE
INE08PH01015,ABCOTS,ABCOTS,SM,NSE
INE0O6N01012,AGUL,AGUL,SM,NSE
INE0D0U01013,AAATECH,AAATECH,EQ,NSE
INE883F01010,AADHARHFC,AADHARHFC,EQ,NSE
INE1GYP01013,AAKAAR,AAKAAR,SM,NSE
INE124401014,AARADHYA,AARADHYA,SM,NSE
INE721Z01010,AARON,AARON,EQ,NSE
INE01C001026,AARTECH,AARTECH,EQ,NSE
INE767A01016,AARTIDRUGS,AARTIDRUGS,EQ,NSE
INE769A01020,AARTIIND,AARTIIND,EQ,NSE
INE0LRU01027,AARTIPHARM,AARTIPHARM,EQ,NSE
INE754X01016,AARVI,AARVI,EQ,NSE
INE0OB201016,AATMAJ,AATMAJ,SM,NSE
INE216P01012,AAVAS,AAVAS,EQ,NSE
INE00ZE01026,AFSL,AFSL,EQ,NSE
INE117A01022,ABB,ABB,EQ,NSE
INE358A01014,ABBOTINDIA,ABBOTINDIA,EQ,NSE
INE0UYG01015,ABHAPOWER,ABHAPOWER,ST,NSE
INE0CAJ01017,AILIMITED,AILIMITED,SM,NSE
INE0QRV01016,ABSMARINE,ABSMARINE,SM,NSE
INE012A01025,ACC,ACC,EQ,NSE
INE793A01012,ACCELYA,ACCELYA,EQ,NSE
INE0Q5D01013,ACCENTMIC,ACCENTMIC,ST,NSE
INE0T8T01010,ACCPL,ACCPL,SM,NSE
INE648Z01023,ACCURACY,ACCURACY,EQ,NSE
INE543V01017,ACEINTEG,ACEINTEG,EQ,NSE
INE622W01025,ACMESOLAR,ACMESOLAR,EQ,NSE
INE731H01025,ACE,ACE,EQ,NSE
INE00FF01025,ACUTAAS,ACUTAAS,EQ,NSE
INE931S01010,ADANIENSOL,ADANIENSOL,EQ,NSE
INE423A01024,ADANIENT,ADANIENT,EQ,NSE
INE364U01010,ADANIGREEN,ADANIGREEN,EQ,NSE
INE742F01042,ADANIPORTS,ADANIPORTS,EQ,NSE
INE814H01011,ADANIPOWER,ADANIPOWER,EQ,NSE
INE399L01023,ATGL,ATGL,EQ,NSE
INE0RDH01021,LAWSIKHO,LAWSIKHO,SM,NSE
INE982B01027,ADFFOODS,ADFFOODS,EQ,NSE
INE404A01024,ABSLAMC,ABSLAMC,EQ,NSE
INE674K01013,ABCAPITAL,ABCAPITAL,EQ,NSE
INE647O01011,ABFRL,ABFRL,EQ,NSE
INE14LE01019,ABLBL,ABLBL,EQ,NSE
INE865C01022,BIRLAMONEY,BIRLAMONEY,EQ,NSE
INE055A01016,ABREL,ABREL,EQ,NSE
INE819V01029,CPPLUS,CPPLUS,EQ,NSE
INE679V01027,AVL,AVL,EQ,NSE
INF209KB18D3,BSLGOLDETF,BSLGOLDETF,EQ,NSE
INF209KB19D1,BSLNIFTY,BSLNIFTY,EQ,NSE
INE045A01017,ADOR,ADOR,EQ,NSE
INE737B01033,ADROITINFO,ADROITINFO,EQ,NSE
INE837H01020,ADVENZYMES,ADVENZYMES,EQ,NSE
INE199C01026,ADVANIHOTR,ADVANIHOTR,EQ,NSE
INE208C01025,AEGISLOG,AEGISLOG,EQ,NSE
INE0INX01018,AEGISVOPAK,AEGISVOPAK,EQ,NSE
INE065D01027,AEROENTER,AEROENTER,EQ,NSE
INE024001021,AEROFLEX,AEROFLEX,EQ,NSE
INE0WL801011,AERON,AERON,SM,NSE
INE0TSF01011,AESTHETIK,AESTHETIK,ST,NSE
INE0BWX01014,AETHER,AETHER,EQ,NSE
INE101I01011,AFCONS,AFCONS,EQ,NSE
INE00WC01027,AFFLE,AFFLE,EQ,NSE
INE692Z01013,AFFORDABLE,AFFORDABLE,EQ,NSE
INE0MLA01012,AGARWALFT,AGARWALFT,SM,NSE
INE204E01012,AGARIND,AGARIND,EQ,NSE
INE0P8X01016,AGARWALTUF,AGARWALTUF,SM,NSE
INE415A01038,AGI,AGI,EQ,NSE
INE976R01025,AGIIL,AGIIL,EQ,NSE
INE0LF301013,AGNI,AGNI,ST,NSE
INE449G01018,AGRITECH,AGRITECH,EQ,NSE
INE00PV01013,AHLADA,AHLADA,EQ,NSE
INE758C01029,AHLUCONT,AHLUCONT,EQ,NSE
INE212H01026,AIAENG,AIAENG,EQ,NSE
INE0RUV01018,AIMTRON,AIMTRON,SM,NSE
INE805A01014,GOLDTECH,GOLDTECH,EQ,NSE
