SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,11200,11299.98,11110,11230,11230,11087.63,185,2073026.48,02-Sep-2025,37,IN0020200104
SGBN28VIII,GB,11300,11598,11300,11488,11498,11140.33,330,3781132.60,02-Sep-2025,102,IN0020200286
SGBMAY29I,GB,11250,11290,11170,11246.04,11250,11102.33,704,7923527.92,02-Sep-2025,136,IN0020210053
SGBJUN29II,GB,11067,11298.99,11067,11183.33,11225,11178.64,170,1908620.96,02-Sep-2025,45,IN0020210061
SGBJU29III,GB,11276.85,11300,11180,11250.83,11210.01,11220.75,203,2280485.26,02-Sep-2025,48,IN0020210087
SGBSEP29VI,GB,11036.2,11400,11036.2,11362.93,11379,11200,95,1078048.18,02-Sep-2025,31,IN0020210145
SGBNV29VII,GB,11187.84,11360,11187.84,11357.83,11360,11187.84,351,3974192.42,02-Sep-2025,89,IN0020210178
SGBOCT25,GB,11127.99,11183.62,11044.5,11142,11142,11127.99,32,355424.87,02-Sep-2025,18,IN0020170059
SGBOCT25IV,GB,11254.95,11260,11149.99,11179.8,11179.8,11198.96,25,279668.24,02-Sep-2025,13,IN0020170067
SGBOCT25V,GB,10954.5,11009.27,10954.5,11000,11000,10954.5,15,164831.77,02-Sep-2025,6,IN0020170075
SGBNOV25,GB,11141.39,11154,11054,11054,11054,11097,13,144713.73,02-Sep-2025,5,IN0020170091
SGBDEC25,GB,12380,12380,12200,12200,12200,11480,6,73873.60,02-Sep-2025,4,IN0020170125
SGBDEC2512,GB,11490,11490,11487.99,11490,11490,11190,8,91916.99,02-Sep-2025,4,IN0020170141
SGBDEC2513,GB,11288.16,11344.6,11288.16,11344.6,11344.6,11092.79,9,101943.92,02-Sep-2025,6,IN0020170158
SGBMAY26,GB,11341,11388,11341,11355,11355,11397.99,16,181940.00,02-Sep-2025,6,IN0020180033
SGBNOV26,GB,11600.01,11600.01,11600,11600,11600,11300,4,46400.02,02-Sep-2025,2,IN0020180314
SGBDEC26,GB,11884.12,11884.12,11800,11800,11800,11825,5,59084.12,02-Sep-2025,3,IN0020180389
SGBJAN26,GB,11400,11400,11400,11400,11400,10438,1,11400.00,02-Sep-2025,1,IN0020170166
SGBJUN27,GB,11179.54,11250,11179.54,11250,11250,11135,87,978054.16,02-Sep-2025,12,IN0020190073
SGBJUL27,GB,11388.01,11388.01,11380,11380,11380,10950.01,26,295986.39,02-Sep-2025,6,IN0020190081
SGBAUG27,GB,12250,12250,11350,11403.37,11400,11500,43,500287.75,02-Sep-2025,26,IN0020190107
SGBSEP27,GB,11299,11299.99,11298,11299,11299,11149.99,131,1480178.88,02-Sep-2025,16,IN0020190115
SGBJAN27,GB,11498,11499.99,11498,11499.99,11499.99,11100,7,80497.94,02-Sep-2025,3,IN0020180462
SGBOCT27,GB,11250,11280,11249.99,11249.99,11250,11108,34,382559.80,02-Sep-2025,6,IN0020190370
SGBFEB27,GB,11288,11790,11288,11790,11790,11128,2,23078.00,02-Sep-2025,2,IN0020180561
SGBOCT27VI,GB,11199.99,11199.99,11050.01,11199.99,11199.99,11001,32,357349.82,02-Sep-2025,9,IN0020190388
SGBDC27VII,GB,11250,11300,11152,11212.05,11223.3,11107.55,143,1601714.28,02-Sep-2025,22,IN0020190461
SGBAPR28I,GB,11600,11650,11436,11549.52,11436,11483.26,84,973069.03,02-Sep-2025,35,IN0020200062
SGBMAY28,GB,11150,11200,11124.57,11195.68,11200,11118.85,237,2651633.48,02-Sep-2025,43,IN0020200088
SGBJUL28IV,GB,11027.01,11218.5,11027.01,11171.33,11175,11026.77,727,8127209.09,02-Sep-2025,95,IN0020200146
SGBFEB28IX,GB,11001,11526.59,11001,11011.02,11011.02,11001,72,803294.60,02-Sep-2025,15,IN0020190545
SGBAUG28V,GB,11200,11380,11140,11291.71,11255,11106.1,1884,21214236.49,02-Sep-2025,315,IN0020200161
SGBSEP28VI,GB,11139.08,11350,11139.08,11291.02,11340,11139.08,411,4636061.88,02-Sep-2025,60,IN0020200195
SGBOC28VII,GB,11199.99,11240,11151,11201.97,11211.02,11100,398,4461792.42,02-Sep-2025,74,IN0020200203
SGBJ28VIII,GB,11199.98,11289.99,11189.99,11289,11289,11099.99,95,1069416.54,02-Sep-2025,11,IN0020190537
SGBMAR28X,GB,11011,11278,11011,11268.99,11269,11011,167,1869503.49,02-Sep-2025,14,IN0020190552
SGBJUL29IV,GB,11105,11265,11105,11251.26,11259,11086.95,1599,17882295.98,02-Sep-2025,192,IN0020210111
SGBJAN29IX,GB,11150,11249,11131,11215.36,11220,11114,237,2656122.29,02-Sep-2025,68,IN0020200377
SGBAUG29V,GB,11450,11787,11450,11500,11500,11387.75,322,3738138.65,02-Sep-2025,41,IN0020210129
SGBD29VIII,GB,11377.98,11457,11191,11431.19,11400,11154.88,409,4656866.48,02-Sep-2025,92,IN0020210228
SGBJAN29X,GB,11121.01,11355,11121.01,11230,11230,11051,32,359286.95,02-Sep-2025,15,IN0020200385
SGBFEB29XI,GB,11085,11300,11085,11279.5,11300,11085,135,1516064.41,02-Sep-2025,46,IN0020200393
SGBMR29XII,GB,11150,11300,11141.58,11274.88,11300,11141.58,138,1554583.66,02-Sep-2025,47,IN0020200427
SGBJUN30,GB,11550,11778.9,11550,11743.5,11749,11529,190,2227923.96,02-Sep-2025,47,IN0020220045
SGBAUG30,GB,11670,11800,11670,11791.72,11800,11563.63,768,9020852.41,02-Sep-2025,112,IN0020220078
SGBDE30III,GB,11830.01,11998.99,11800,11981.67,11900.06,11828.07,618,7343584.50,02-Sep-2025,136,IN0020220110
SGBJAN30IX,GB,11645,12010,11525,11696.35,11670,11650,226,2647316.69,02-Sep-2025,76,IN0020210236
SGBMAR30X,GB,11700,11798,11700,11722.05,11739,11510.83,104,1219776.60,02-Sep-2025,32,IN0020210319
SGBJUN31I,GB,12000,12237.54,11965.01,12150.45,12105.5,11975.61,777,9443890.59,02-Sep-2025,223,IN0020230069
SGBSEP31II,GB,12059,12225,11940,12182.68,12225,11940.71,1827,22163424.92,02-Sep-2025,343,IN0020230093
SGBDE31III,GB,12100,12321,12016,12299.36,12321,12012.33,1885,23126989.95,02-Sep-2025,506,IN0020230168
SGBMAR31IV,GB,12180,12198.88,12056.03,12152.74,12198.88,11918,208,2519851.93,02-Sep-2025,51,IN0020220169
SGBFEB32IV,GB,12736,13020,12596.98,12888.03,12600,12596.98,2087,26967504.74,02-Sep-2025,519,IN0020230184
20MICRONS,EQ,233.13,237,231.31,232.56,232,231.98,57705,13498086.88,02-Sep-2025,2084,INE144J01027
21STCENMGM,EQ,53.3,53.3,51.7,53.22,53.2,52.26,3152,167406.42,02-Sep-2025,86,INE253B01015
360ONE,EQ,1034,1047,1020.4,1024.8,1025.9,1030.8,714095,740083744.90,02-Sep-2025,32544,INE466L01038
GOLD360,EQ,104.8,104.8,102.85,103.4,102.85,102.85,6674,690345.15,02-Sep-2025,111,INF579M01BB5
SILVER360,EQ,122.58,124.5,121.1,122.21,121.76,122.58,66098,8114329.93,02-Sep-2025,322,INF579M01BC3
3IINFOLTD,EQ,22.79,23.85,22.78,23.4,23.35,22.71,265927,6246553.12,02-Sep-2025,1985,INE748C01038
3MINDIA,EQ,31315,31590,30930,31090,31140,31295,3206,100356010.00,02-Sep-2025,1824,INE470A01017
3PLAND,EQ,46.22,46.22,44.51,45.07,44.81,45.32,9833,443111.27,02-Sep-2025,270,INE105C01023
5PAISA,EQ,356.5,367,356.5,362.3,360.45,359.75,13386,4864917.80,02-Sep-2025,1317,INE618L01018
63MOONS,EQ,915.1,938.9,910.85,924.3,925,914.2,96851,89705364.50,02-Sep-2025,7982,INE111B01023
734IRFC28,N4,1100.1,1103.01,1100.1,1103,1103.01,1100,2350,2589150.95,02-Sep-2025,4,INE053F07579
751HUDCO28,N5,1082,1088.99,1082,1083,1083,1082,395,428280.81,02-Sep-2025,6,INE031A07865
