SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
132822,"VODAFONE IDEA  LIMITED",A,STK,6.7,6.7,6.65,6.62,6.65,6.58,3,3,20,
500002,"ABB INDIA LIMITED",A,STK,5249.95,5249.95,5149.45,5162.65,5151,5188.25,4591,38772,200772503,
500003,"AEGIS LOGISTICS LTD.",A,STK,711.95,711.95,695.55,698.1,701.3,701.8,837,13426,9399737,
500008,"Amara Raja Energy & Mobility L",A,STK,1030.75,1034.05,1000,1001.8,1000,1021.2,1596,29716,30137104,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,32.97,34.5,32.2,32.56,32.2,32.4,371,73346,2433339,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,50.84,50.99,49.37,49.68,49.9,50.32,302,34279,1716699,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.2,5.2,5.11,5.2,5.2,5.1,32,5284,27373,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.32,5.48,5.32,5.38,5.35,5.32,58,12010,64499,
500016,"ARUNA HOTELS LTD.",X,STK,9.13,9.13,8.7,8.95,8.95,9.12,38,9056,81296,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,183.45,184,175.5,176.5,175.6,181.2,1586,102618,18491170,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,341.6,341.6,330.85,330.85,330.85,325.4,8,62,20589,
500027,"ATUL LTD.",A,STK,6460,6460,6354.45,6399.7,6372.2,6417.8,411,1582,10121996,
500028,"ATV PROJECTS INDIA LTD.",X,STK,39.59,39.59,38.4,39.05,39.2,38.75,173,23962,936132,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,585,593,569,572.25,574,575.15,973,10803,6239965,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.81,21.81,21.12,21.25,21.25,21.53,3348,1485869,31725500,
500033,"FORCE MOTORS LTD.",A,STK,20449.45,20449.45,17917,18096.1,18096.1,19780.45,5994,19036,357552561,
500034,"BAJAJ FINANCE LIMITED",A,STK,915,948.2,912.9,934.85,934.85,896.5,45927,1990383,1864341197,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,564.4,564.4,549.15,553.85,553.5,559.5,659,9463,5240322,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,637.05,642.4,606.5,609.4,609.4,630.75,1163,17501,10854231,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1829.2,1832.9,1801.65,1816.2,1820.95,1817,513,3845,6989092,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3699,3699,3639.6,3651.7,3651.7,3652.8,9,11,40346,
500042,"BASF INDIA LTD.",A,STK,4689.25,4693.4,4589.6,4629.1,4616.1,4689.25,271,712,3311969,
500043,"BATA INDIA LTD.",A,STK,1189.2,1254.95,1169.95,1244.55,1244.55,1163.5,13159,238722,294310344,
500048,"BEML LTD.",A,STK,4139.8,4139.8,3940,3950.35,3950,4101.45,2097,14101,56610919,
500049,"BHARAT ELECTRONICS LTD.",A,STK,381.6,381.6,372,372.6,372.6,378.7,12532,551324,207331690,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,107.05,108.9,106.2,106.4,106.45,107.3,330,18742,2014101,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.68,13.97,13.22,13.4,13.48,13.41,41,3877,52908,
500059,"BIL VYAPAR LIMITED",T,STK,12.49,13.11,12.49,13.08,13.11,12.49,34,13935,181133,
500060,"Birla Cable Limited",T,STK,159.95,159.95,156.8,158.4,159.35,158.95,77,6715,1066683,
500067,"BLUE STAR LTD.",A,STK,2049.95,2049.95,1935.4,1942.85,1942.85,1960.25,3280,25754,50820292,
500068,"DISA INDIA LTD.",B,STK,13719.6,13888.9,13355.05,13412.55,13412.55,13719.6,98,169,2280480,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,354.95,354.95,344.3,348.25,348.25,354.8,9,225,79420,
500074,"BPL LTD.",B,STK,88.99,91.1,83.71,85.34,85,86.6,547,19261,1685638,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,345.45,349.9,340,342.1,342.1,337.9,69,367,126619,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,22.01,22.55,21.5,21.64,21.63,22.01,437,14623,320376,
500084,"CESC LTD.",A,STK,156.05,156.8,153.25,153.7,153.85,155.05,832,49790,7689365,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,580.05,580.1,554.95,557.4,557,569.6,2475,73793,41665871,
500086,"EXIDE INDUSTRIES LTD.",A,STK,423.4,423.4,404.3,405.6,405.6,418.75,3266,122917,50591814,
500087,"CIPLA LTD.",A,STK,1595.05,1595.05,1573.95,1577.65,1577.65,1579,1665,19742,31175613,
500089,"DIC INDIA LTD.",B,STK,586.6,592.35,580.4,582,582,594.55,53,109,63863,
500092,"CRISIL LTD.",A,STK,4919.05,5091.85,4919.05,5005.65,5003,5059.9,305,828,4158509,
500093,"CG Power and Industrial Soluti",A,STK,743.55,751,735,740.15,740.15,733.6,12187,367098,273151943,
500096,"DABUR INDIA LTD.",A,STK,556.05,576.8,551.45,552.9,552.9,543.4,8335,289965,162316913,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,394.45,394.45,380,380.35,381.5,387.85,1002,38348,14685358,
500101,"ARVIND LTD.",A,STK,294.7,296.8,288.55,294.2,293.95,289.95,1016,26125,7643241,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,222.2,222.2,210.5,211.1,211.1,216.9,5116,520487,112137340,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,388.4,391.7,383.7,384.5,384.5,387.2,1975,153994,59371984,
500106,"IFCI LTD.",A,STK,53.92,54.4,52.01,52.2,52.2,53.45,2680,480016,25497962,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,45.11,45.64,44.33,44.5,44.6,44.95,972,227731,10242711,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,128.75,128.75,124.45,125,125,127.2,759,61108,7699206,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,708,708,688.85,692.35,691.5,698.6,971,20613,14421841,
500112,"STATE BANK OF INDIA",A,STK,816.75,816.75,807.85,809.35,809.35,812.15,21762,619504,501879525,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,129.85,130.15,127.15,127.6,127.6,129.75,5679,643612,82462461,
