ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE144J01027,20MICRONS,20MICRONS,EQ,NSE,20MICRONS,,20MICRONS.NS
INE253B01015,21STCENMGM,21STCENMGM,EQ,NSE,21STCENMGM,,21STCENMGM.NS
INE466L01038,360ONE,360ONE,EQ,NSE,360ONE,,360ONE.NS
INE748C01038,3IINFOLTD,3IINFOLTD,EQ,NSE,3IINFOLTD,,3IINFOLTD.NS
INE470A01017,3MINDIA,3MINDIA,EQ,NSE,3MINDIA,,3MINDIA.NS
INE105C01023,3PLAND,3PLAND,EQ,NSE,3PLAND,,3PLAND.NS
INE618L01018,5PAISA,5PAISA,EQ,NSE,5PAISA,,5PAISA.NS
INE111B01023,63MOONS,63MOONS,EQ,NSE,63MOONS,,63MOONS.NS
INE08PH01015,ABCOTS,ABCOTS,SM,NSE,ABCOTS,,ABCOTS.NS
INE0O6N01012,AGUL,AGUL,SM,NSE,AGUL,,AGUL.NS
INE0D0U01013,AAATECH,AAATECH,EQ,NSE,AAATECH,,AAATECH.NS
INE883F01010,AADHARHFC,AADHARHFC,EQ,NSE,AADHARHFC,,AADHARHFC.NS
INE1GYP01013,AAKAAR,AAKAAR,SM,NSE,AAKAAR,,AAKAAR.NS
INE124401014,AARADHYA,AARADHYA,SM,NSE,AARADHYA,,AARADHYA.NS
INE721Z01010,AARON,AARON,EQ,NSE,AARON,,AARON.NS
INE01C001026,AARTECH,AARTECH,EQ,NSE,AARTECH,,AARTECH.NS
INE767A01016,AARTIDRUGS,AARTIDRUGS,EQ,NSE,AARTIDRUGS,,AARTIDRUGS.NS
INE769A01020,AARTIIND,AARTIIND,EQ,NSE,AARTIIND,,AARTIIND.NS
INE0LRU01027,AARTIPHARM,AARTIPHARM,EQ,NSE,AARTIPHARM,,AARTIPHARM.NS
INE754X01016,AARVI,AARVI,EQ,NSE,AARVI,,AARVI.NS
INE0OB201016,AATMAJ,AATMAJ,SM,NSE,AATMAJ,,AATMAJ.NS
INE216P01012,AAVAS,AAVAS,EQ,NSE,AAVAS,,AAVAS.NS
INE00ZE01026,AFSL,AFSL,EQ,NSE,AFSL,,AFSL.NS
INE117A01022,ABB,ABB,EQ,NSE,ABB,,ABB.NS
INE358A01014,ABBOTINDIA,ABBOTINDIA,EQ,NSE,ABBOTINDIA,,ABBOTINDIA.NS
INE0UYG01015,ABHAPOWER,ABHAPOWER,ST,NSE,ABHAPOWER,,ABHAPOWER.NS
INE0CAJ01017,AILIMITED,AILIMITED,SM,NSE,AILIMITED,,AILIMITED.NS
INE0QRV01016,ABSMARINE,ABSMARINE,SM,NSE,ABSMARINE,,ABSMARINE.NS
INE012A01025,ACC,ACC,EQ,NSE,ACC,,ACC.NS
INE793A01012,ACCELYA,ACCELYA,EQ,NSE,ACCELYA,,ACCELYA.NS
INE0Q5D01013,ACCENTMIC,ACCENTMIC,ST,NSE,ACCENTMIC,,ACCENTMIC.NS
INE0T8T01010,ACCPL,ACCPL,SM,NSE,ACCPL,,ACCPL.NS
INE648Z01023,ACCURACY,ACCURACY,EQ,NSE,ACCURACY,,ACCURACY.NS
INE543V01017,ACEINTEG,ACEINTEG,EQ,NSE,ACEINTEG,,ACEINTEG.NS
INE622W01025,ACMESOLAR,ACMESOLAR,EQ,NSE,ACMESOLAR,,ACMESOLAR.NS
INE731H01025,ACE,ACE,EQ,NSE,ACE,,ACE.NS
